"질문","답변"
"하계 성적 확정 안 하면 언제쯤 문제 생김?","하계 계절수업 성적 확정(7월 17일)을 안 하면 2학기 개강(9월 1일) 전에 학점 반영에 문제 생길 수 있어."
"2학기 수강신청 1차를 안 하면 언제쯤 다시 함?","2학기 수강신청 1차(7월 23일~25일)를 안 하면 2차(8월 21일)에 다시 할 수 있어."
"만약 수강신청 1차가 늦으면 언제까지 해야 함?","2학기 수강신청 1차(7월 23일~25일)가 늦으면 마감이 7월 25일이니까 그때까지 해야 해."
"수강신청 1차가 연기되면 언제쯤 함?","2학기 수강신청 1차(7월 23일~25일)가 연기되면 공지에 따라 달라지겠지만, 7월 말이나 8월 초쯤 예상할 수 있어."
"만약 2학기 1차를 놓치면 언제 다시 가능함?","2학기 수강신청 1차(7월 23일~25일)를 놓치면 2차(8월 21일)나 수강신청 정정(9월 1일~7일)에 가능해."
"수강신청 1차 안 하면 언제쯤 문제 생김?","2학기 수강신청 1차(7월 23일~25일)를 안 하면 개강(9월 1일) 전에 수업 확정에 문제 생길 수 있어."
"2학기 교차수강을 안 하면 언제쯤 다시 함?","2학기 교차수강(8월 5일~6일)을 안 하면 다음 학기(2026-1학기)에 다시 해야 할 수도 있어."
"만약 교차수강이 연기되면 언제쯤 함?","2학기 교차수강(8월 5일~6일)이 연기되면 공지에 따라 달라지겠지만, 8월 중순쯤 예상할 수 있어."
"교차수강이 늦어지면 언제까지 해야 함?","2학기 교차수강(8월 5일~6일)이 늦어지면 마감이 8월 6일이니까 그때까지 해야 해."
"만약 교차수강을 놓치면 언제 다시 가능함?","2학기 교차수강(8월 5일~6일)을 놓치면 수강신청 정정(9월 1일~7일)에 가능할 수도 있어."
"교차수강 안 하면 언제쯤 문제 생김?","2학기 교차수강(8월 5일~6일)을 안 하면 개강(9월 1일) 때 수업 조정에 문제 생길 수 있어."
"2학기 2차 수강신청을 안 하면 언제쯤 다시 함?","2학기 수강신청 2차(8월 21일)를 안 하면 수강신청 정정(9월 1일~7일)에 다시 할 수 있어."
"만약 2차 수강신청이 늦으면 언제까지 해야 함?","2학기 수강신청 2차(8월 21일)가 늦으면 하루뿐이라 8월 21일까지 해야 해."
"2차 수강신청이 연기되면 언제쯤 함?","2학기 수강신청 2차(8월 21일)가 연기되면 공지에 따라 달라지겠지만, 8월 말쯤 예상할 수 있어."
"만약 2차 수강신청을 놓치면 언제 다시 가능함?","2학기 수강신청 2차(8월 21일)를 놓치면 수강신청 정정(9월 1일~7일)에 가능해."
"2차 수강신청 안 하면 언제쯤 문제 생김?","2학기 수강신청 2차(8월 21일)를 안 하면 개강(9월 1일) 때 수업 확정에 문제 생길 수 있어."
"후기 졸업식에 못 가면 언제쯤 학위 받음?","2024학년도 후기 학위수여식(8월 22일)에 못 가면 학교 절차에 따라 나중에 받을 수 있으니 확인해 봐."
"만약 후기 졸업식이 연기되면 언제쯤 함?","2024학년도 후기 학위수여식(8월 22일)이 연기되면 공지에 따라 달라지겠지만, 8월 말쯤 예상할 수 있어."
"후기 졸업식이 늦어지면 언제까지 함?","2024학년도 후기 학위수여식(8월 22일)이 늦어지면 공지에 따라 달라지겠지만, 8월 말까지 할 거야."
"만약 후기 졸업식이 취소되면 언제 다시 함?","2024학년도 후기 학위수여식(8월 22일)이 취소되면 다음 전기(2026년 2월 24일)에 열릴 가능성이 있어."
"후기 졸업식 안 가면 언제쯤 문제 생김?","2024학년도 후기 학위수여식(8월 22일)에 안 가면 2학기 개강(9월 1일) 전에 학위 수여에 문제 생길 수 있어."
"만약 2학기 등록을 안 하면 언제쯤 알림 오나?","2학기 등록(8월 22일~26일)을 안 하면 개강(9월 1일) 전에 학교에서 알림이 올 거야."
"2학기 등록이 늦어지면 언제까지 해야 함?","2학기 등록(8월 22일~26일)이 늦어지면 마감이 8월 26일이니까 그때까지 해야 해."
"만약 2학기 등록이 연기되면 언제쯤 함?","2학기 등록(8월 22일~26일)이 연기되면 공지에 따라 달라지겠지만, 8월 말이나 9월 초쯤 예상할 수 있어."
"2학기 등록을 놓치면 언제 다시 가능함?","2학기 등록(8월 22일~26일)을 놓치면 추가 등록 기회가 없으니 다음 학기(2026-1학기)를 기다려야 할 수도 있어."
"등록 안 하면 언제쯤 문제 생김?","2학기 등록(8월 22일~26일)을 안 하면 개강(9월 1일) 때 수업 참여에 문제 생길 거야."
"만약 2학기 개강에 못 가면 언제쯤 알림 오나?","2학기 개강(9월 1일)에 못 가면 수강신청 정정(9월 1일~7일) 동안 학교에서 알림이 올 거야."
"2학기 개강이 연기되면 언제쯤 함?","2025-2학기 개강(9월 1일)이 연기되면 공지에 따라 달라지겠지만, 9월 초중반쯤 예상할 수 있어."
"만약 개강이 늦어지면 언제까지 기다려야 함?","2025-2학기 개강(9월 1일)이 늦어지면 공지에 따라 달라지겠지만, 9월 중순까지 기다릴 수 있어."
"개강이 안 되면 언제 다시 시작함?","2학기 개강(9월 1일)이 안 되면 공지에 따라 달라지겠지만, 9월 중순쯤 다시 시작할 가능성이 있어."
"만약 개강 안 하면 언제쯤 문제 생김?","2학기 개강(9월 1일)을 안 하면 수강신청 정정(9월 1일~7일) 때 수업 준비에 문제 생길 거야."
"2학기 수강신청 정정을 안 하면 언제쯤 다시 함?","2학기 수강신청 정정(9월 1일~7일)을 안 하면 수강포기(9월 18일~19일)에 다시 할 수 있어."
"만약 수강신청 정정이 늦으면 언제까지 해야 함?","2학기 수강신청 정정(9월 1일~7일)이 늦으면 마감이 9월 7일이니까 그때까지 해야 해."
"수강신청 정정이 연기되면 언제쯤 함?","2학기 수강신청 정정(9월 1일~7일)이 연기되면 공지에 따라 달라지겠지만, 9월 중순쯤 예상할 수 있어."
"만약 수강신청 정정을 놓치면 언제 다시 가능함?","2학기 수강신청 정정(9월 1일~7일)을 놓치면 수강포기(9월 18일~19일)에 가능해."
"수강신청 정정 안 하면 언제쯤 문제 생김?","2학기 수강신청 정정(9월 1일~7일)을 안 하면 중간고사(10월 20일~26일) 전에 수업 조정에 문제 생길 수 있어."
"만약 2학기 수강포기를 안 하면 언제쯤 다시 함?","2학기 수강포기(9월 18일~19일)를 안 하면 다음 학기(2026-1학기)에 다시 해야 할 수도 있어."
"수강포기가 늦어지면 언제까지 해야 함?","2학기 수강포기(9월 18일~19일)가 늦어지면 마감이 9월 19일이니까 그때까지 해야 해."
"만약 수강포기가 연기되면 언제쯤 함?","2학기 수강포기(9월 18일~19일)가 연기되면 공지에 따라 달라지겠지만, 9월 말쯤 예상할 수 있어."
"수강포기를 놓치면 언제 다시 가능함?","2학기 수강포기(9월 18일~19일)를 놓치면 다음 학기(2026-1학기) 수강신청 때 조정해야 할 거야."
"만약 수강포기 안 하면 언제쯤 문제 생김?","2학기 수강포기(9월 18일~19일)를 안 하면 중간고사(10월 20일~26일) 때 성적에 문제 생길 수 있어."
"중간강의평가를 안 하면 언제쯤 다시 함?","2학기 중간강의평가(10월 10일~31일)를 안 하면 기말강의평가(12월 1일~2026년 1월 3일)에 다시 할 수 있어."
"만약 중간강의평가가 늦으면 언제까지 해야 함?","2학기 중간강의평가(10월 10일~31일)가 늦으면 마감이 10월 31일이니까 그때까지 해야 해."
"중간강의평가가 연기되면 언제쯤 함?","2학기 중간강의평가(10월 10일~31일)가 연기되면 공지에 따라 달라지겠지만, 11월 초쯤 예상할 수 있어."
"만약 중간강의평가를 놓치면 언제 다시 가능함?","2학기 중간강의평가(10월 10일~31일)를 놓치면 기말강의평가(12월 1일~2026년 1월 3일)에 가능해."
"중간강의평가 안 하면 언제쯤 문제 생김?","2학기 중간강의평가(10월 10일~31일)를 안 하면 기말고사(12월 8일~14일) 전에 평가 반영에 문제 생길 수 있어."
"만약 중간고사에 못 가면 언제쯤 다시 함?","2학기 중간고사(10월 20일~26일)에 못 가면 보통 재시험이 없으니 기말고사(12월 8일~14일)에 성적을 보완해야 해."
"중간고사가 연기되면 언제쯤 함?","2학기 중간고사(10월 20일~26일)가 연기되면 공지에 따라 달라지겠지만, 11월 초쯤 예상할 수 있어."
"만약 중간고사가 늦어지면 언제까지 함?","2학기 중간고사(10월 20일~26일)가 늦어지면 마감이 10월 26일이니까 그때까지 해야 해."
"중간고사를 안 치면 언제쯤 알림 오나?","2학기 중간고사(10월 20일~26일)를 안 치면 성적입력(12월 9일~28일) 전에 교수님께서 알림 줄 거야."
"만약 중간고사가 취소되면 언제 다시 함?","2학기 중간고사(10월 20일~26일)가 취소되면 기말고사(12월 8일~14일)에 통합해서 볼 수도 있어."
"기말강의평가를 안 하면 언제쯤 다시 함?","2학기 기말강의평가(12월 1일~2026년 1월 3일)를 안 하면 다음 학기(2026-1학기) 중간강의평가에 할 수 있어."
"만약 기말강의평가가 늦으면 언제까지 해야 함?","2학기 기말강의평가(12월 1일~2026년 1월 3일)가 늦으면 마감이 2026년 1월 3일이니까 그때까지 해야 해."
"기말강의평가가 연기되면 언제쯤 함?","2학기 기말강의평가(12월 1일~2026년 1월 3일)가 연기되면 공지에 따라 달라지겠지만, 1월 중순쯤 예상할 수 있어."
"만약 기말강의평가를 놓치면 언제 다시 가능함?","2학기 기말강의평가(12월 1일~2026년 1월 3일)를 놓치면 다음 학기 중간강의평가에 가능해."
"기말강의평가 안 하면 언제쯤 문제 생김?","2학기 기말강의평가(12월 1일~2026년 1월 3일)를 안 하면 성적확정(2026년 1월 8일) 전에 평가 반영에 문제 생길 수 있어."
"만약 기말고사에 못 가면 언제쯤 다시 함?","2학기 기말고사(12월 8일~14일)에 못 가면 재시험이 없으니 다음 학기(2026-1학기)에 다시 수강해야 할 수도 있어."
"기말고사가 연기되면 언제쯤 함?","2학기 기말고사(12월 8일~14일)가 연기되면 공지에 따라 달라지겠지만, 12월 말쯤 예상할 수 있어."
"만약 기말고사가 늦어지면 언제까지 함?","2학기 기말고사(12월 8일~14일)가 늦어지면 마감이 12월 14일이니까 그때까지 해야 해."
"기말고사를 안 치면 언제쯤 알림 오나?","2학기 기말고사(12월 8일~14일)를 안 치면 성적확인(12월 30일~2026년 1월 3일) 전에 교수님이나 학교에서 알림 줄 거야."
"만약 기말고사가 취소되면 언제 다시 함?","2학기 기말고사(12월 8일~14일)가 취소되면 다음 학기(2026-1학기)에 수업을 다시 들어야 할 수도 있어."
"2학기 성적입력을 안 하면 언제쯤 다시 함?","2학기 성적입력(12월 9일~28일)을 안 하면 다음 학기 성적입력 때 조정해야 할 수도 있어."
"만약 성적입력이 늦으면 언제까지 해야 함?","2학기 성적입력(12월 9일~28일)이 늦으면 마감이 12월 28일이니까 그때까지 해야 해."
"성적입력이 연기되면 언제쯤 함?","2학기 성적입력(12월 9일~28일)이 연기되면 공지에 따라 달라지겠지만, 1월 초쯤 예상할 수 있어."
"만약 성적입력을 놓치면 언제 다시 가능함?","2학기 성적입력(12월 9일~28일)을 놓치면 성적정정(12월 30일~2026년 1월 2일)에 조정할 수 있어."
"성적입력을 안 하면 언제쯤 문제 생김?","2학기 성적입력(12월 9일~28일)을 안 하면 성적확정(2026년 1월 8일) 때 문제 생길 거야."
"2학기 자율보강을 안 하면 언제쯤 다시 함?","2학기 자율보강(12월 15일~21일)을 안 하면 다음 학기 자율보강 때 할 수 있어."
"만약 자율보강이 연기되면 언제쯤 함?","2학기 자율보강(12월 15일~21일)이 연기되면 공지에 따라 달라지겠지만, 12월 말쯤 예상할 수 있어."
"자율보강이 늦어지면 언제까지 해야 함?","2학기 자율보강(12월 15일~21일)이 늦어지면 마감이 12월 21일이니까 그때까지 해야 해."
"만약 자율보강을 놓치면 언제 다시 가능함?","2학기 자율보강(12월 15일~21일)을 놓치면 다음 학기 자율보강 때 가능해."
"자율보강 안 하면 언제쯤 문제 생김?","2학기 자율보강(12월 15일~21일)을 안 하면 성적확정(2026년 1월 8일) 전에 보강 반영에 문제 생길 수 있어."
"만약 동계방락이 늦어지면 언제쯤 시작함?","동계방락(12월 22일)이 늦어지면 공지에 따라 달라지겠지만, 12월 말이나 1월 초쯤 예상할 수 있어."
"동계방락에 못 가면 언제쯤 다시 쉬나?","동계방락(12월 22일)에 못 가면 다음 하계방락(2026년 여름)까지 기다려야 할 수도 있어."
"만약 동계방락이 연기되면 언제쯤 열림?","동계방락(12월 22일)이 연기되면 공지에 따라 달라지겠지만, 1월 초쯤 열릴 거야."
"동계방락 안 가면 언제쯤 알림 오나?","동계방락(12월 22일)에 안 가면 다음 학기 개강 전에 학교에서 알림이 올 수도 있어."
"만약 동계방락이 취소되면 언제 다시 쉬나?","동계방락(12월 22일)이 취소되면 다음 하계방락(2026년 여름)까지 기다려야 해."
"동계 계절수업을 안 하면 언제쯤 다시 함?","동계 계절수업(12월 22일~2026년 1월 8일)을 안 하면 다음 하계 계절수업(2026년 여름)에 할 수 있어."
"만약 동계 계절수업이 연기되면 언제쯤 함?","동계 계절수업(12월 22일~2026년 1월 8일)이 연기되면 공지에 따라 달라지겠지만, 1월 중순쯤 예상할 수 있어."
"동계 계절수업이 늦어지면 언제까지 해야 함?","동계 계절수업(12월 22일~2026년 1월 8일)이 늦어지면 마감이 2026년 1월 8일이니까 그때까지 해야 해."
"만약 동계 계절수업을 놓치면 언제 다시 가능함?","동계 계절수업(12월 22일~2026년 1월 8일)을 놓치면 다음 하계 계절수업(2026년 여름)에 가능해."
"동계 계절수업 안 하면 언제쯤 문제 생김?","동계 계절수업(12월 22일~2026년 1월 8일)을 안 하면 성적확정(2026년 1월 8일) 때 학점 반영에 문제 생길 수 있어."
"만약 2학기 이의신청을 안 하면 언제쯤 다시 함?","2학기 이의신청(12월 30일~2026년 1월 1일)을 안 하면 다음 학기 이의신청에 할 수 있어."
"이의신청이 늦어지면 언제까지 해야 함?","2학기 이의신청(12월 30일~2026년 1월 1일)이 늦어지면 마감이 2026년 1월 1일이니까 그때까지 해야 해."
"만약 이의신청이 연기되면 언제쯤 함?","2학기 이의신청(12월 30일~2026년 1월 1일)이 연기되면 공지에 따라 달라지겠지만, 1월 중순쯤 예상할 수 있어."
"이의신청을 놓치면 언제 다시 가능함?","2학기 이의신청(12월 30일~2026년 1월 1일)을 놓치면 다음 학기 이의신청에 가능해."
"만약 이의신청 안 하면 언제쯤 문제 생김?","2학기 이의신청(12월 30일~2026년 1월 1일)을 안 하면 성적확정(2026년 1월 8일) 후에 수정이 안 돼서 그때쯤 문제 생길 거야."
"2학기 성적정정을 안 하면 언제쯤 다시 함?","2학기 성적정정(12월 30일~2026년 1월 2일)을 안 하면 다음 학기 성적정정에 할 수 있어."
"만약 성적정정이 늦으면 언제까지 해야 함?","2학기 성적정정(12월 30일~2026년 1월 2일)이 늦으면 마감이 2026년 1월 2일이니까 그때까지 해야 해."
"성적정정이 연기되면 언제쯤 함?","2학기 성적정정(12월 30일~2026년 1월 2일)이 연기되면 공지에 따라 달라지겠지만, 1월 중순쯤 예상할 수 있어."
"만약 성적정정을 놓치면 언제 다시 가능함?","2학기 성적정정(12월 30일~2026년 1월 2일)을 놓치면 다음 학기 성적정정에 가능해."
"성적정정 안 하면 언제쯤 문제 생김?","2학기 성적정정(12월 30일~2026년 1월 2일)을 안 하면 성적확정(2026년 1월 8일) 후에 수정이 안 돼서 그때쯤 문제 생길 거야."
"만약 2학기 성적확인을 안 하면 언제쯤 알림 오나?","2학기 성적확인(12월 30일~2026년 1월 3일)을 안 하면 성적확정(2026년 1월 8일) 전에 학교에서 알림이 올 거야."
"성적확인이 늦어지면 언제까지 해야 함?","2학기 성적확인(12월 30일~2026년 1월 3일)이 늦어지면 마감이 2026년 1월 3일이니까 그때까지 해야 해."
"만약 성적확인이 연기되면 언제쯤 함?","2학기 성적확인(12월 30일~2026년 1월 3일)이 연기되면 공지에 따라 달라지겠지만, 1월 중순쯤 예상할 수 있어."
"성적확인을 놓치면 언제 다시 가능함?","2학기 성적확인(12월 30일~2026년 1월 3일)을 놓치면 성적확정(2026년 1월 8일) 후에 따로 확인해야 할 거야."
"만약 성적확인 안 하면 언제쯤 문제 생김?","2학기 성적확인(12월 30일~2026년 1월 3일)을 안 하면 성적확정(2026년 1월 8일) 후에 이의 제기가 안 돼서 그때쯤 문제 생길 거야."
"2학기 성적확정이 안 되면 언제쯤 알림 오나?","2학기 성적확정(2026년 1월 8일)이 안 되면 입학식(2026년 2월 25일) 전에 학교에서 알림이 올 거야."
"만약 성적확정이 연기되면 언제쯤 함?","2학기 성적확정(2026년 1월 8일)이 연기되면 공지에 따라 달라지겠지만, 1월 중순쯤 예상할 수 있어."
"성적확정이 늦어지면 언제까지 기다려야 함?","2학기 성적확정(2026년 1월 8일)이 늦어지면 공지에 따라 달라지겠지만, 입학식(2026년 2월 25일) 전까지 기다려야 해."
"만약 성적확정을 놓치면 언제 다시 함?","2학기 성적확정(2026년 1월 8일)을 놓치면 다음 학기 성적확정 때 반영될 수도 있어."
"성적확정 안 하면 언제쯤 문제 생김?","2학기 성적확정(2026년 1월 8일)을 안 하면 입학식(2026년 2월 25일) 전에 학적에 문제 생길 수 있어."
"만약 2025 전기 졸업식에 못 가면 언제쯤 학위 받음?","2025학년도 전기 학위수여식(2026년 2월 24일)에 못 가면 학교 절차에 따라 나중에 받을 수 있으니 확인해 봐."
"2025 전기 졸업식이 연기되면 언제쯤 함?","2025학년도 전기 학위수여식(2026년 2월 24일)이 연기되면 공지에 따라 달라지겠지만, 2월 말이나 3월 초쯤 예상할 수 있어."
"만약 졸업식이 늦어지면 언제까지 함?","2025학년도 전기 학위수여식(2026년 2월 24일)이 늦어지면 공지에 따라 달라지겠지만, 2월 말까지 할 거야."
"졸업식이 취소되면 언제 다시 함?","2025학년도 전기 학위수여식(2026년 2월 24일)이 취소되면 다음 후기 학위수여식(2026년 여름)에 열릴 가능성이 있어."
"만약 졸업식 안 가면 언제쯤 문제 생김?","2025학년도 전기 학위수여식(2026년 2월 24일)에 안 가면 학위 수여가 늦어질 수 있어서 2026학년도 개강 전에 확인해야 할 거야."
"2026 천안 입학식에 못 가면 언제쯤 서울에서 함?","2026학년도 천안 입학식(2월 25일)에 못 가면, 서울 입학식은 2월 26일이니까 그때 가면 돼."
"만약 천안 입학식이 연기되면 언제쯤 함?","2026학년도 천안 입학식(2월 25일)이 연기되면 공지에 따라 달라지겠지만, 2월 말이나 3월 초 쯤 예상돼."
"천안 입학식이 늦어지면 언제까지 함?","2026학년도 천안 입학식(2월 25일)이 연기되면 공지에 따라 달라지겠지만, 2월 말이나 3월 초 쯤 예상돼."
"2025-1학기 장바구니 수강신청 1차(재학생)와 2025-1학기 수강신청(재학생 1차)의 기간 길이를 비교해줘.","2025-1학기 장바구니 수강신청 1차(재학생)은 2025-01-31부터 2025-02-03까지 4일간이고, 2025-1학기 수강신청(재학생 1차)은 2025-02-05부터 2025-02-07까지 3일간입니다. 장바구니 수강신청 1차가 1일 더 깁니다."
"2025-1학기 교차수강신청(서울↔천안)과 2025-1학기 수강신청(신·편입생)의 시작일 차이는?","2025-1학기 교차수강신청(서울↔천안)은 2025-02-11에 시작하고, 2025-1학기 수강신청(신·편입생)은 2025-02-18에 시작합니다. 교차수강신청이 7일 더 먼저 시작합니다."
"2025-1학기 중간고사와 2025-1학기 기말고사의 기간은 어떻게 달라?","2025-1학기 중간고사는 2025-04-22부터 2025-04-28까지 7일간이고, 2025-1학기 기말고사는 2025-06-10부터 2025-06-16까지 7일간입니다. 두 시험의 기간 길이는 동일합니다."
"2025-1학기 등록과 2025-2학기 등록의 날짜 차이는?","2025-1학기 등록은 2025-02-19부터 2025-02-24까지, 2025-2학기 등록은 2025-08-22부터 2025-08-26까지입니다. 1학기 등록이 2학기 등록보다 약 6개월(184일) 먼저 시작합니다."
"2025-하계 계절수업과 2025-동계 계절수업의 기간 길이를 비교해줘.","2025-하계 계절수업은 2025-06-24부터 2025-07-09까지 16일간이고, 2025-동계 계절수업은 2025-12-22부터 2026-01-08까지 18일간입니다. 동계 계절수업이 하계보다 2일 더 깁니다."
"2025-1학기 성적입력과 2025-2학기 성적입력의 기간 차이는?","2025-1학기 성적입력은 2025-06-09부터 2025-06-29까지 21일간이고, 2025-2학기 성적입력은 2025-12-09부터 2025-12-28까지 20일간입니다. 1학기 성적입력이 2학기보다 1일 더 깁니다."
"2025-1학기 수강포기와 2025-2학기 수강포기의 날짜와 기간 차이는?","2025-1학기 수강포기는 2025-03-18부터 2025-03-20까지 3일간, 2025-2학기 수강포기는 2025-09-18부터 2025-09-19까지 2일간입니다. 1학기 수강포기가 2학기보다 1일 더 길고, 약 6개월(184일) 먼저 진행됩니다."
"2025학년도 입학식(천안)과 2025학년도 입학식(서울)의 날짜 차이는?","2025학년도 입학식(천안)은 2025-02-26에, 2025학년도 입학식(서울)은 2025-02-27에 열립니다. 서울 입학식이 천안보다 1일 뒤입니다."
"2025-1학기 중간강의평가와 기말강의평가의 기간 길이를 비교해줘.","2025-1학기 중간강의평가는 2025-04-07부터 2025-04-30까지 24일간이고, 기말강의평가는 2025-06-02부터 2025-07-05까지 34일간입니다. 기말강의평가가 중간강의평가보다 10일 더 깁니다."
"2025-2학기 교차수강신청(서울↔천안)과 2025-2학기 수강신청(재학생 2차)의 날짜 차이는?","2025-2학기 교차수강신청(서울↔천안)은 2025-08-05부터 2025-08-06까지 2일간이고, 2025-2학기 수강신청(재학생 2차)은 2025-08-21에 1일간입니다. 교차수강신청이 재학생 2차 수강신청보다 16일 먼저 시작합니다."
"2025-1학기 개강과 2025-2학기 개강의 날짜 차이는?","2025-1학기 개강은 2025-03-04에, 2025-2학기 개강은 2025-09-01에 진행됩니다. 2학기 개강이 1학기 개강보다 181일 뒤입니다."
"2025-1학기 수강신청 정정 및 취소와 2025-2학기 수강신청 정정 및 취소의 기간 길이를 비교해줘.","2025-1학기 수강신청 정정 및 취소는 2025-03-04부터 2025-03-10까지 7일간이고, 2025-2학기 수강신청 정정 및 취소는 2025-09-01부터 2025-09-07까지 7일간입니다. 두 기간의 길이는 동일합니다."
"2025-하계방학 시작과 2025-동계방학 시작의 날짜 차이는?","2025-하계방학 시작은 2025-06-24에, 2025-동계방학 시작은 2025-12-22에 진행됩니다. 동계방학이 하계방학보다 181일 뒤입니다."
"2025-1학기 성적확인과 2025-2학기 성적확인의 기간 길이를 비교해줘.","2025-1학기 성적확인은 2025-07-01부터 2025-07-05까지 5일간이고, 2025-2학기 성적확인은 2025-12-30부터 2026-01-03까지 5일간입니다. 두 기간의 길이는 동일합니다."
"2025-1학기 장바구니 수강신청 2차(재학생)와 2025-1학기 수강신청(재학생 2차)의 날짜 차이는?","2025-1학기 장바구니 수강신청 2차(재학생)은 2025-02-14에, 2025-1학기 수강신청(재학생 2차)은 2025-02-20에 진행됩니다. 수강신청 2차가 장바구니 수강신청 2차보다 6일 뒤입니다."
"2025-1학기 폐강 공고와 2025-1학기 개강의 날짜 차이는?","2025-1학기 폐강 공고는 2025-02-28에, 2025-1학기 개강은 2025-03-04에 진행됩니다. 개강이 폐강 공고보다 4일 뒤입니다."
"2025-하계 계절수업 성적입력 기간과 2025-동계 계절수업의 기간 길이를 비교해줘.","2025-하계 계절수업 성적입력 기간은 2025-07-09부터 2025-07-12까지 4일간이고, 2025-동계 계절수업은 2025-12-22부터 2026-01-08까지 18일간입니다. 동계 계절수업이 하계 계절수업 성적입력 기간보다 14일 더 깁니다."
"2025-2학기 중간고사와 2025-2학기 기말고사의 시작일 차이는?","2025-2학기 중간고사는 2025-10-20에 시작하고, 2025-2학기 기말고사는 2025-12-08에 시작합니다. 기말고사가 중간고사보다 49일 뒤에 시작합니다."
"2025-1학기 자율보강(기말고사)주간과 2025-2학기 자율보강(기말고사)주간의 기간 길이를 비교해줘.","2025-1학기 자율보강(기말고사)주간은 2025-06-17부터 2025-06-23까지 7일간이고, 2025-2학기 자율보강(기말고사)주간은 2025-12-15부터 2025-12-21까지 7일간입니다. 두 기간의 길이는 동일합니다."
"2025-1학기 이의신청과 2025-2학기 이의신청의 날짜 차이는?","2025-1학기 이의신청은 2025-07-01부터 2025-07-03까지, 2025-2학기 이의신청은 2025-12-30부터 2026-01-01까지입니다. 2학기 이의신청이 1학기 이의신청보다 약 6개월(182일) 뒤에 시작합니다."
"2025-1학기 장바구니 수강신청 1차(재학생)와 2025-1학기 장바구니 수강신청 2차(재학생)의 시작일 차이는?","2025-1학기 장바구니 수강신청 1차(재학생)은 2025-01-31에, 2025-1학기 장바구니 수강신청 2차(재학생)은 2025-02-14에 시작합니다. 2차가 1차보다 14일 뒤입니다."
"2025-1학기 수강신청(재학생 1차)와 2025-1학기 수강신청(재학생 2차)의 기간 길이를 비교해줘.","2025-1학기 수강신청(재학생 1차)은 2025-02-05부터 2025-02-07까지 3일간이고, 2025-1학기 수강신청(재학생 2차)은 2025-02-20에 1일간입니다. 1차가 2차보다 2일 더 깁니다."
"2025-1학기 교차수강신청(서울↔천안)과 2025-2학기 교차수강신청(서울↔천안)의 날짜 차이는?","2025-1학기 교차수강신청(서울↔천안)은 2025-02-11부터 2025-02-12까지, 2025-2학기 교차수강신청(서울↔천안)은 2025-08-05부터 2025-08-06까지입니다. 2학기가 1학기보다 약 6개월(175일) 뒤에 시작합니다."
"2025-1학기 수강신청(신·편입생)과 2025-1학기 등록의 시작일 차이는?","2025-1학기 수강신청(신·편입생)은 2025-02-18에, 2025-1학기 등록은 2025-02-19에 시작합니다. 등록이 수강신청보다 1일 뒤입니다."
"2024학년도 전기 학위수여식(서울·천안)와 2025학년도 입학식(천안)의 날짜 차이는?","2024학년도 전기 학위수여식(서울·천안)은 2025-02-25에, 2025학년도 입학식(천안)은 2025-02-26에 진행됩니다. 입학식이 학위수여식보다 1일 뒤입니다."
"2025-1학기 폐강 공고와 2025-1학기 수강신청 정정 및 취소의 시작일 차이는?","2025-1학기 폐강 공고는 2025-02-28에, 2025-1학기 수강신청 정정 및 취소는 2025-03-04에 시작합니다. 수강신청 정정 및 취소가 폐강 공고보다 4일 뒤입니다."
"2025-1학기 개강과 2025-1학기 수강포기의 종료일 차이는?","2025-1학기 개강은 2025-03-04에 시작하고, 2025-1학기 수강포기는 2025-03-20에 끝납니다. 수강포기 종료일이 개강보다 16일 뒤입니다."
"2025-1학기 중간고사와 2025-1학기 중간강의평가의 기간 길이를 비교해줘.","2025-1학기 중간고사는 2025-04-22부터 2025-04-28까지 7일간이고, 2025-1학기 중간강의평가는 2025-04-07부터 2025-04-30까지 24일간입니다. 중간강의평가가 중간고사보다 17일 더 깁니다."
"2025-1학기 기말고사와 2025-1학기 자율보강(기말고사)주간의 시작일 차이는?","2025-1학기 기말고사는 2025-06-10에 시작하고, 2025-1학기 자율보강(기말고사)주간은 2025-06-17에 시작합니다. 자율보강 주간이 기말고사보다 7일 뒤입니다."
"2025-하계방학과 2025-하계 계절수업의 시작일 차이는?","2025-하계방학과 2025-하계 계절수업은 모두 2025-06-24에 시작합니다. 시작일 차이는 없습니다."
"2025-1학기 성적입력과 2025-1학기 성적확인의 종료일 차이는?","2025-1학기 성적입력은 2025-06-29에 끝나고, 2025-1학기 성적확인은 2025-07-05에 끝납니다. 성적확인이 성적입력보다 6일 뒤에 끝납니다."
"2025-2학기 대상 학적 변동 기간과 2025-2학기 수강신청(재학생 1차)의 날짜 차이는?","2025-2학기 대상 학적 변동 기간은 2025-07-14부터 2025-07-18까지, 2025-2학기 수강신청(재학생 1차)은 2025-07-23부터 2025-07-25까지입니다. 수강신청이 학적 변동 기간보다 5일 뒤에 시작합니다."
"2025-하계 계절수업 성적입력 기간과 2025-하계 계절수업 성적 확인, 이의신청 및 정정 기간의 기간 길이를 비교해줘.","2025-하계 계절수업 성적입력 기간은 2025-07-09부터 2025-07-12까지 4일간이고, 2025-하계 계절수업 성적 확인, 이의신청 및 정정 기간은 2025-07-15부터 2025-07-16까지 2일간입니다. 성적입력 기간이 2일 더 깁니다."
